LINEA,MARCA,2024,2025,Var 24/25
AK125NKD EIII,AKT,60623,61097,0.007818814641307847
CT100 ES SPOKE,BAJAJ,20992,30799,0.4671779725609757
GPD155-A (NMAX155),YAMAHA,34371,29852,-0.13147711733729017
CT100 KS SPOKE,BAJAJ,30573,28271,-0.07529519510679361
GN 125,SUZUKI,28920,25380,-0.12240663900414939
XTZ150-2 (XTZ150),YAMAHA,28159,25016,-0.11161617955183067
DR150,SUZUKI,27819,21839,-0.21496099787914735
RAIDER 125,TVS,21824,19066,-0.12637463343108502
XR190L2.0,HONDA,486,19018,38.13168724279836
T115FI (T115FL-5),YAMAHA,22595,17054,-0.245231245850852
XR150L 2.0,HONDA,31,16309,525.0967741935484
GIXXER FI ABS,SUZUKI,16084,16182,0.006093011688634631
CT125,BAJAJ,10080,13470,0.3363095238095237
FZN150-A (FZ15A),YAMAHA,14152,13274,-0.0620407009609949
XTZ125,YAMAHA,17610,11847,-0.32725724020442926
HUNK 125 R,HERO,-,11767,-
PULSAR NS 200 FI,BAJAJ,17454,11364,-0.3489171536610519
HUNK 160 4V,HERO,2787,10448,2.7488338715464655
AK110NV EIII,AKT,7641,9764,0.27784321423897396
DR150FI ABS,SUZUKI,3634,9335,1.5687947165657676
AK125FLEX EIII,AKT,9818,8424,-0.14198411081686702
GDR155-A,YAMAHA,8333,7527,-0.09672386895475815
RAIDER 125 FI,TVS,-,7430,-
ECO DELUXE CW,HERO,7706,7323,-0.049701531274331745
CB100,HONDA,4637,7260,0.5656674574078067
MTN155-A,YAMAHA,9188,7079,-0.22953852851545498
NEO NX 110,TVS,7246,6992,-0.03505382279878555
CB125F 2.0,HONDA,-,6763,-
VIVA R STYLE,SUZUKI,-,6691,-
DISCOVER 125 ST,BAJAJ,8410,6673,-0.20653983353151006
AX 4,SUZUKI,8685,6442,-0.2582613701784686
AK125CR4 EIII,AKT,9726,6372,-0.3448488587291795
AK125DYN PRO+,AKT,8361,6274,-0.24961129051548858
V-STROM 160,SUZUKI,273,5850,20.428571428571427
CB125F DLX 2.0,HONDA,1,5660,5659
PULSAR NS 200 FI ABS UG2,BAJAJ,-,5568,-
SZ15RR,YAMAHA,7423,5444,-0.2666037990030985
AK200DS+,AKT,-,5428,-
AK125TTR EIII,AKT,5343,5344,0.00018716077110236817
DIO DLX 110,HONDA,3173,5264,0.6589977938859124
CB190R 2.0,HONDA,2469,5201,1.1065208586472255
AK125CH EIII,AKT,2825,5037,0.783008849557522
PULSAR NS 400Z,BAJAJ,-,4387,-
AK150CR4,AKT,2257,4383,0.9419583517944174
AK200ZW,AKT,4904,4367,-0.10950244698205547
BURGMAN FI,SUZUKI,2670,4133,0.547940074906367
AGILITY FUSION,KYMCO,3371,4102,0.21684959952536342
APACHE RTR 160 4V XC FI,TVS,3507,4071,0.16082121471343025
ECO DELUXE SP,HERO,3631,3978,0.09556595979069127
TRICARGO 200,CERONTE,3389,3959,0.16819120684567723
HUNK 150 XT,HERO,291,3888,12.360824742268042
AK200TTR EIII,AKT,5971,3865,-0.35270473957461057
NTORQ 125 XCONNECT,TVS,4361,3797,-0.12932813574868152
APACHE RTR 160 4V XCONNECT,TVS,5519,3623,-0.3435404964667512
NX190,HONDA,378,3467,8.171957671957673
VIVA  R STYLE,SUZUKI,11007,3461,-0.685563732170437
PULSAR N125 FI,BAJAJ,-,3426,-
DYNAMIC RX,AKT,-,3343,-
RE4S PETROL,BAJAJ,3306,3331,0.007562008469449433
RAIDER 125 RACING,TVS,4137,3291,-0.20449601160261055
TEB40,SYM,304,3268,9.75
GIXXER 250,SUZUKI,4556,3174,-0.3033362598770851
YC110D (YC-Z),YAMAHA,3887,3146,-0.1906354515050167
BR 150CC SBR,BERA,-,3100,-
NAVI 2.0,HONDA,1594,3064,0.9222082810539523
HUNK 160 FI ST,HERO,2272,3058,0.345950704225352
ECO T,HERO,-,2963,-
WAVE 110S CBS,HONDA,1,2949,2948
PULSAR P150,BAJAJ,1480,2786,0.8824324324324324
AK200CR3 EIII,AKT,4928,2703,-0.45150162337662336
XPULSE 200 4V,HERO,3880,2683,-0.30850515463917527
PULSAR NS 125,BAJAJ,2088,2670,0.27873563218390807
FZN250-A,YAMAHA,3258,2591,-0.20472682627378758
GN125 ABS,SUZUKI,-,2512,-
CB125F 2.0 MAX,HONDA,-,2490,-
DIO STD 110,HONDA,647,2489,2.846986089644513
GIXXER SF FI ABS,SUZUKI,3007,2472,-0.17791819088792815
XTZ250,YAMAHA,3876,2448,-0.368421052631579
MRX ARIZONA,VICTORY,4487,2351,-0.47604189881880987
