LINEA,MARCA,2024,2025,Var 24/25
Corolla cross,Toyota,7517,7114,-0.053611813223360394
Cx-30,Mazda,7825,6848,-0.1248562300319489
Duster,Renault,6653,6128,-0.07891176912670972
Picanto,Kia,5795,5645,-0.025884383088869756
Onix,Chevrolet,4126,4917,0.1917111003393117
K3 cross,Kia,3337,4605,0.379982019778244
Kardian,Renault,2010,4035,1.0074626865671643
Byd yuan up,Byd,1168,3870,2.3133561643835616
Hilux,Toyota,4958,3328,-0.3287615974183138
Swift,Suzuki,3164,3208,0.013906447534766109
Logan,Renault,3559,3113,-0.1253161000280978
K3,Kia,2548,3062,0.20172684458398749
Land cruiser prado,Toyota,2812,2952,0.049786628733997196
Arkana,Renault,1079,2923,1.7089898053753476
Kwid,Renault,3744,2786,-0.25587606837606836
Cx-5,Mazda,2966,2784,-0.061362103843560334
2 hatchback,Mazda,2228,2493,0.11894075403949733
Corolla,Toyota,1911,2432,0.27263212977498696
Sportage,Kia,1976,2404,0.2165991902834008
Sonet,Kia,1986,2381,0.19889224572004038
Kicks,Nissan,2969,2302,-0.22465476591444933
Stepway,Renault,3057,2284,-0.25286228328426563
Tracker,Chevrolet,2947,2280,-0.22633186291143537
Byd seagull,Byd,1513,2242,0.48182419035029733
Frontier,Nissan,2836,2188,-0.22849083215796895
Fronx,Suzuki,1795,2185,0.21727019498607247
New scross,Suzuki,1049,2122,1.022878932316492
2 sedan,Mazda,1546,2071,0.3395860284605434
Ranger,Ford,2101,2055,-0.021894336030461647
Soluto,Kia,1392,1947,0.3987068965517242
Kona hibrida,Hyundai,983,1897,0.9298067141403865
X-trail t33,Nissan,1975,1896,-0.040000000000000036
Escape,Ford,5,1874,373.8
Fortuner,Toyota,3571,1839,-0.48501820218426206
Yaris cross,Toyota,2203,1740,-0.2101679527916478
Versa,Nissan,1912,1697,-0.1124476987447699
Tucson hibrida,Hyundai,245,1647,5.722448979591837
T-cross pa trendline,Volkswagen,630,1553,1.4650793650793652
Kicks p16,Nissan,333,1484,3.456456456456457
Niro,Kia,1164,1409,0.2104810996563573
Polo pa track,Volkswagen,1644,1356,-0.17518248175182483
Cx-50,Mazda,1640,1356,-0.17317073170731712
Hb20s,Hyundai,657,1312,0.9969558599695585
Picanto ekotaxi,Kia,1525,1237,-0.18885245901639347
Jx1044tc6,Jmc,980,1219,0.2438775510204081
Nhr,Chevrolet,1027,1167,0.13631937682570583
Colorado,Chevrolet,613,1135,0.8515497553017946
Sandero,Renault,1859,1134,-0.3899946207638515
Duster oroch,Renault,1362,1110,-0.18502202643171806
Stonic,Kia,945,1109,0.17354497354497345
3,Mazda,1319,1108,-0.15996967399545114
2008,Peugeot,776,1023,0.31829896907216493
Hb20,Hyundai,517,978,0.8916827852998066
Captiva,Chevrolet,1339,953,-0.2882748319641524
Seltos,Kia,1239,945,-0.23728813559322037
DUSTER E-TECH,Renault,-,879,-
C3,Citroen,875,844,-0.035428571428571476
Bj1128vejed-f3,Foton,457,842,0.8424507658643325
Qashqai,Nissan,792,828,0.045454545454545414
Formentor,Cupra,448,787,0.7566964285714286
Grand vitara hybrid,Suzuki,1599,780,-0.5121951219512195
Ev5,Kia,596,770,0.2919463087248322
N400,Chevrolet,814,762,-0.06388206388206386
Hfc1036kn evi,Jac,574,741,0.2909407665505226
T-cross pa comfortline,Volkswagen,284,730,1.5704225352112675
Bj1045vdjba-f3,Foton,553,722,0.30560578661844495
Kona,Hyundai,433,720,0.6628175519630486
Kangoo,Renault,575,717,0.24695652173913052
Nlr,Chevrolet,246,708,1.8780487804878048
C3 aircross,Citroen,206,706,2.4271844660194173
DZIRE,Suzuki,-,706,-
